agent_name,Connect Four,Hex,Kuhn Poker,Matching Pennies,Prisoner's Dilemma,Rock Paper Scissors,Tic Tac Toe,Overall
Llama-3-70b-8192,90,50,100,80,100,67,89,82
Llama-3-8b-8192,87,56,100,70,92,15,96,74
GPT-3.5-turbo,100,0,100,0,100,100,100,71
Qwen3-32b,100,100,100,0,100,0,100,71
Meta-Llama-3.1-70B-Instruct-Turbo,100,0,100,0,100,100,100,71
GPT-4-mini,80,0,100,80,100,20,100,69
GPT-4,86,0,100,80,100,29,86,69
Gemma2-9b-it,89,25,78,80,100,22,78,67
glm-4p5-air,38,0,75,100,100,25,100,62
qwen3-235b-a22b-thinking-2507,67,0,100,0,100,67,100,62
kimi-k2-instruct,100,0,100,0,100,33,100,62
Meta-Llama-3.1-8B-Instruct-Turbo,100,0,100,0,100,0,100,57
GPT-4-turbo,100,0,100,0,100,0,100,57
llama-v3-70b-instruct,100,0,100,0,100,0,100,57
llama-v3-8b-instruct,100,0,100,0,100,0,100,57
o4-mini,100,0,100,0,100,0,100,57
ai-mistralai-Mixtral-8x7B-Instruct-v0.1,80,0,80,60,100,10,50,54
Gemma-7b-it,0,0,0,0,0,0,100,14
llama-3.1-8b-instant,0,0,50,0,0,0,43,13
Qwen2-7B-Instruct,0,0,0,0,0,0,0,0
