total_moves,avg_reasoning_length,%_opponent_mentions,reasoning_diversity,reasoning_entropy,agent_name,game_name
37,35.75675675675676,0.0,3,1.0800389192781297,llm_litellm_fireworks_ai_accounts_fireworks_models_glm_4p5_air,connect_four
13,82.61538461538461,0.38461538461538464,4,1.9877733714879842,llm_litellm_fireworks_ai_accounts_fireworks_models_kimi_k2_instruct,connect_four
32,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_70b_instruct,connect_four
32,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_8b_instruct,connect_four
31,37.483870967741936,0.0,2,0.4586858162005403,llm_litellm_fireworks_ai_accounts_fireworks_models_qwen3_235b_a22b_thinking_2507,connect_four
7,37.0,0.42857142857142855,5,2.1280852788913944,llm_litellm_gpt_3.5_turbo,connect_four
13,47.38461538461539,0.6923076923076923,6,2.2877837199410704,llm_litellm_gpt_4,connect_four
4,35.75,0.0,3,1.5,llm_litellm_gpt_4_turbo,connect_four
32,25.0,0.0,1,-0.0,llm_litellm_gpt_5,connect_four
32,25.0,0.0,1,-0.0,llm_litellm_gpt_5_mini,connect_four
32,42.0,0.0,1,-0.0,llm_litellm_gpt_o4_mini,connect_four
16,31.9375,0.125,2,1.0,llm_litellm_groq_gemma2_9b_it,connect_four
27,46.925925925925924,0.7777777777777778,4,1.3793929556575797,llm_litellm_groq_llama3_70b_8192,connect_four
36,41.19444444444444,0.7777777777777778,4,1.7194013827120647,llm_litellm_groq_llama3_8b_8192,connect_four
32,27.0,0.0,1,-0.0,llm_litellm_groq_qwen3_32b,connect_four
15,40.333333333333336,0.26666666666666666,5,1.7382689280764647,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,connect_four
10,66.5,0.8,5,1.9609640474436814,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,connect_four
42,28.547619047619047,0.19047619047619047,6,2.3197262106834686,llm_litellm_together_ai_mistralai_Mixtral_8x7B_Instruct_v0.1,connect_four
25,39.56,0.0,3,1.3593308322365363,llm_litellm_fireworks_ai_accounts_fireworks_models_glm_4p5_air,hex
25,48.44,0.16,7,2.3706993328423067,llm_litellm_fireworks_ai_accounts_fireworks_models_kimi_k2_instruct,hex
25,41.16,0.0,3,0.8663137138648348,llm_litellm_fireworks_ai_accounts_fireworks_models_qwen3_235b_a22b_thinking_2507,hex
25,69.4,0.48,5,1.7291353321499974,llm_litellm_gpt_4,hex
25,57.0,0.0,1,-0.0,llm_litellm_gpt_5,hex
25,57.0,0.0,1,-0.0,llm_litellm_gpt_5_mini,hex
25,41.0,0.0,1,-0.0,llm_litellm_gpt_o4_mini,hex
294,52.493197278911566,0.4897959183673469,7,2.06149979064703,llm_litellm_groq_gemma2_9b_it,hex
133,18.954887218045112,0.6616541353383458,5,1.6410535425047106,llm_litellm_groq_llama3_70b_8192,hex
950,45.43684210526316,0.1336842105263158,5,1.1362818915274713,llm_litellm_groq_llama3_8b_8192,hex
153,45.0,0.0,1,-0.0,llm_litellm_groq_qwen3_32b,hex
83,36.795180722891565,0.1927710843373494,5,1.6519252782310976,llm_litellm_together_ai_mistralai_Mixtral_8x7B_Instruct_v0.1,hex
3,40.333333333333336,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_glm_4p5_air,kuhn_poker
3,110.0,1.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_kimi_k2_instruct,kuhn_poker
2,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_70b_instruct,kuhn_poker
2,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_8b_instruct,kuhn_poker
5,40.2,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_qwen3_235b_a22b_thinking_2507,kuhn_poker
1,41.0,0.0,1,-0.0,llm_litellm_gpt_3.5_turbo,kuhn_poker
2,27.5,0.5,2,1.0,llm_litellm_gpt_4,kuhn_poker
1,34.0,1.0,1,-0.0,llm_litellm_gpt_4_turbo,kuhn_poker
2,25.0,0.0,1,-0.0,llm_litellm_gpt_5,kuhn_poker
2,25.0,0.0,1,-0.0,llm_litellm_gpt_5_mini,kuhn_poker
2,42.0,0.0,1,-0.0,llm_litellm_gpt_o4_mini,kuhn_poker
4,77.5,1.0,1,-0.0,llm_litellm_groq_gemma2_9b_it,kuhn_poker
5,60.4,1.0,2,0.7219280948873623,llm_litellm_groq_llama3_70b_8192,kuhn_poker
7,4.571428571428571,0.0,1,-0.0,llm_litellm_groq_llama3_8b_8192,kuhn_poker
1,2.0,0.0,1,-0.0,llm_litellm_groq_llama_3.1_8b_instant,kuhn_poker
2,27.0,0.0,1,-0.0,llm_litellm_groq_qwen3_32b,kuhn_poker
2,99.0,1.0,2,1.0,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,kuhn_poker
2,40.5,0.5,2,1.0,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,kuhn_poker
5,30.8,0.8,2,0.7219280948873623,llm_litellm_together_ai_mistralai_Mixtral_8x7B_Instruct_v0.1,kuhn_poker
1,59.0,1.0,1,-0.0,llm_litellm_groq_llama3_8b_8192,matching_pennies
3,24.666666666666668,0.0,2,0.9182958340544896,llm_litellm_fireworks_ai_accounts_fireworks_models_glm_4p5_air,matrix_pd
3,69.66666666666667,1.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_kimi_k2_instruct,matrix_pd
2,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_70b_instruct,matrix_pd
2,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_8b_instruct,matrix_pd
3,36.333333333333336,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_qwen3_235b_a22b_thinking_2507,matrix_pd
1,78.0,0.0,1,-0.0,llm_litellm_gpt_3.5_turbo,matrix_pd
2,3.0,0.0,1,-0.0,llm_litellm_gpt_4,matrix_pd
1,5.0,0.0,1,-0.0,llm_litellm_gpt_4_turbo,matrix_pd
2,25.0,0.0,1,-0.0,llm_litellm_gpt_5,matrix_pd
2,25.0,0.0,1,-0.0,llm_litellm_gpt_5_mini,matrix_pd
2,42.0,0.0,1,-0.0,llm_litellm_gpt_o4_mini,matrix_pd
4,4.0,0.0,1,-0.0,llm_litellm_groq_gemma2_9b_it,matrix_pd
4,3.0,0.0,1,-0.0,llm_litellm_groq_llama3_70b_8192,matrix_pd
4,25.0,0.0,1,-0.0,llm_litellm_groq_llama3_8b_8192,matrix_pd
2,27.0,0.0,1,-0.0,llm_litellm_groq_qwen3_32b,matrix_pd
2,3.0,0.0,1,-0.0,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,matrix_pd
