Model,Games Played,Games Won,Win Rate (%),Avg Reward
GPT-4-mini,65,49,75.38,0.831 ± 0.166
GPT-3.5-turbo,45,28,62.22,0.533 ± 0.107
GPT-4,45,28,62.22,0.822 ± 0.164
openrouter-qwen-qwen-2.5-72b-instruct,35,21,60.00,1.029 ± 0.206
openrouter-meta-llama-llama-3.1-8b-instruct,45,27,60.00,0.622 ± 0.124
openrouter-anthropic-claude-3.5-sonnet-20241022,35,20,57.14,0.829 ± 0.166
openrouter-mistralai-mistral-7b-instruct,35,19,54.29,0.600 ± 0.120
openrouter-google-gemma-2-9b-it,35,19,54.29,0.657 ± 0.131
openrouter-meta-llama-llama-3.1-70b-instruct,45,23,51.11,0.533 ± 0.107
openrouter-google-gemini-2.0-flash-exp,0,0,0.00,0.000 ± 0.000
openrouter-anthropic-claude-3-haiku-20240307,0,0,0.00,0.000 ± 0.000
