agent_name,Connect Four,Hex,Kuhn Poker,Matching Pennies,Prisoner's Dilemma,Rock Paper Scissors,Tic Tac Toe,Overall
Qwen-2.5-72B-Instruct,1.0,-0.5,-0.2,0.2,6.4,-0.1,0.8,1.086
GPT-4o,0.6,-1.0,-0.267,0.2,5.9,0.3,0.733,0.924
GPT-4o-mini,1.0,-0.6,-0.2,0.4,5.2,-0.1,0.714,0.916
Claude-3.5-Sonnet-20241022,1.0,-0.9,-0.5,0.2,5.7,0.0,0.9,0.914
Llama-3.1-70B-Instruct,0.4,-0.4,-0.333,0.2,5.6,-0.1,-0.067,0.757
Llama-3.1-8B-Instruct,0.8,0.0,-0.467,0.0,3.5,0.4,0.733,0.71
GPT-3.5-turbo,0.8,-0.2,-0.2,0.2,3.1,-0.2,0.667,0.595
Mistral-7B-Instruct,0.0,-0.2,-0.2,-0.6,4.2,0.1,0.7,0.571
Gemma-2-9B-IT,0.6,-1.0,-0.4,0.2,3.7,0.2,0.4,0.529
Claude-3-haiku-20240307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-2.0-flash-exp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
