agent_name,Connect Four,Hex,Kuhn Poker,Matching Pennies,Prisoner's Dilemma,Rock Paper Scissors,Tic Tac Toe,Overall
GPT-4o-mini,100,20,60,70,80,20,86,62
GPT-4o,80,0,53,60,100,50,87,61
Qwen-2.5-72B-Instruct,100,20,40,60,100,20,90,61
Llama-3.1-8B-Instruct,90,50,47,50,60,50,80,61
GPT-3.5-turbo,90,40,60,60,70,20,73,59
Claude-3.5-Sonnet-20241022,100,0,40,60,80,40,90,59
Mistral-7B-Instruct,50,40,50,20,80,40,80,51
Gemma-2-9B-IT,80,0,40,60,80,40,50,50
Llama-3.1-70B-Instruct,70,20,53,60,70,20,40,48
Claude-3-haiku-20240307,0,0,0,0,0,0,0,0
gemini-2.0-flash-exp,0,0,0,0,0,0,0,0
